Timestamp,Age,Gender,Country,state,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
2014-08-27 11:39:31,30,male,united kingdom,pa,no,yes,sometimes,500-1000,yes,yes,don't know,no,no,no,yes,somewhat easy,maybe,no,some of them,yes,no,yes,don't know,no,sometimes i think  about using drugs for my mental health issues. if i use drugs i feel better
2014-08-27 11:39:36,42,male,united states,wa,no,yes,sometimes,26-100,yes,yes,yes,yes,yes,yes,yes,very easy,maybe,no,some of them,some of them,maybe,yes,don't know,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:40:51,40,female,united states,wi,no,no,sometimes,1-5,no,yes,yes,yes,no,no,don't know,don't know,maybe,no,some of them,no,no,maybe,yes,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:41:17,27,male,united states,ny,no,no,rarely,6-25,no,yes,no,yes,no,no,don't know,very easy,no,no,yes,yes,maybe,maybe,don't know,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:41:37,29,male,canada,ny,no,no,rarely,1-5,no,yes,no,no,no,no,don't know,very easy,yes,maybe,some of them,no,no,no,don't know,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:41:50,38,male,portugal,ny,no,no,rarely,100-500,no,yes,no,yes,no,no,don't know,somewhat easy,maybe,no,some of them,some of them,no,maybe,no,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:42:08,50,m,united states,in,no,no,rarely,100-500,no,yes,yes,yes,no,don't know,don't know,don't know,no,no,some of them,yes,no,maybe,don't know,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:42:15,35,m,united states,tx,no,no,rarely,more than 1000,yes,yes,yes,yes,no,yes,yes,very easy,no,no,yes,yes,maybe,maybe,yes,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:42:25,24,male,united kingdom,tx,no,no,sometimes,6-25,no,yes,no,no,no,no,don't know,don't know,maybe,maybe,some of them,no,no,yes,no,yes,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:42:31,35,male,united states,mi,no,no,sometimes,more than 1000,yes,yes,yes,not sure,don't know,yes,don't know,somewhat difficult,yes,yes,some of them,no,no,maybe,don't know,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:43:07,27,male,canada,mi,no,yes,sometimes,1-5,no,yes,no,yes,no,no,yes,very difficult,maybe,no,some of them,no,no,no,yes,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:43:10,18,male,netherlands,mi,no,no,often,6-25,no,yes,no,not sure,no,no,don't know,somewhat difficult,yes,maybe,no,some of them,no,no,no,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:43:22,30,male,united states,in,no,no,sometimes,26-100,no,yes,don't know,no,no,no,don't know,don't know,no,no,no,no,no,maybe,don't know,no,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
2014-08-27 11:43:36,38,female,united states,tx,no,yes,sometimes,26-100,no,yes,yes,yes,no,yes,yes,somewhat easy,no,no,some of them,yes,no,no,yes,no,our health plan has covered my psychotherapy and my antidepressant medication. my manager has been aware but discreet throughout. i did get negative reviews when my depression was trashing my delivery but y'know i wasn't delivering.
2014-08-27 11:43:45,28,male,united kingdom,tx,no,no,sometimes,26-100,no,yes,don't know,not sure,no,no,don't know,don't know,no,maybe,some of them,yes,maybe,yes,don't know,no,our health plan has covered my psychotherapy and my antidepressant medication. my manager has been aware but discreet throughout. i did get negative reviews when my depression was trashing my delivery but y'know i wasn't delivering.
2014-08-27 11:43:48,34,male,united states,tn,no,no,sometimes,6-25,no,yes,no,no,no,no,don't know,don't know,no,no,yes,yes,maybe,yes,don't know,no,our health plan has covered my psychotherapy and my antidepressant medication. my manager has been aware but discreet throughout. i did get negative reviews when my depression was trashing my delivery but y'know i wasn't delivering.
2014-08-27 11:43:56,26,m,canada,tn,yes,no,sometimes,1-5,no,yes,no,yes,yes,no,don't know,don't know,no,no,yes,yes,no,no,yes,no,our health plan has covered my psychotherapy and my antidepressant medication. my manager has been aware but discreet throughout. i did get negative reviews when my depression was trashing my delivery but y'know i wasn't delivering.
2014-08-27 11:44:43,30,male,united states,il,no,yes,rarely,26-100,no,yes,yes,no,no,don't know,don't know,don't know,maybe,no,some of them,yes,no,no,don't know,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:44:55,22,m,united states,tx,no,yes,often,6-25,no,yes,no,yes,no,no,yes,very difficult,maybe,no,no,no,no,maybe,don't know,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:45:32,33,male,united states,ut,no,no,often,100-500,yes,yes,don't know,not sure,don't know,don't know,don't know,don't know,no,no,some of them,yes,maybe,maybe,don't know,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:45:33,31,m,united states,ut,no,no,often,100-500,yes,yes,don't know,no,don't know,don't know,don't know,don't know,maybe,maybe,some of them,some of them,maybe,maybe,don't know,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:45:51,32,male,united states,tn,no,no,never,1-5,yes,yes,don't know,not sure,no,no,don't know,don't know,maybe,no,some of them,yes,no,no,don't know,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:46:36,28,m,switzerland,tn,no,no,never,100-500,no,yes,no,no,no,no,don't know,don't know,no,no,no,no,no,maybe,don't know,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:46:49,27,male-ish,united states,ny,no,yes,rarely,26-100,no,yes,yes,yes,no,no,yes,don't know,maybe,no,no,no,no,no,don't know,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:46:55,32,maile,united states,tn,no,yes,rarely,6-25,yes,yes,don't know,no,no,no,don't know,somewhat easy,no,no,yes,yes,no,no,yes,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:47:10,24,male,united states,ny,no,yes,sometimes,26-100,yes,yes,don't know,no,no,no,don't know,don't know,no,maybe,some of them,yes,yes,yes,no,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:47:33,26,male,united states,tn,no,no,sometimes,26-100,no,no,no,no,no,no,yes,somewhat easy,no,no,some of them,yes,maybe,yes,don't know,no,i just started a new job last week hence a lot of don't know's
2014-08-27 11:47:56,33,male,canada,tn,no,yes,often,6-25,yes,yes,don't know,no,no,no,no,somewhat difficult,yes,no,no,no,no,maybe,don't know,no,in addition to my own mental health issues i've known several coworkers that may be suffering and i don't know how to tell them i empathize and that i want to help.
2014-08-27 11:48:57,44,male,united states,ia,no,yes,sometimes,more than 1000,no,no,yes,no,no,don't know,don't know,don't know,yes,maybe,some of them,no,no,maybe,don't know,yes,in addition to my own mental health issues i've known several coworkers that may be suffering and i don't know how to tell them i empathize and that i want to help.
2014-08-27 11:49:51,26,female,poland,ia,no,no,sometimes,26-100,yes,yes,don't know,not sure,yes,yes,yes,very easy,no,no,yes,yes,maybe,yes,yes,no,in addition to my own mental health issues i've known several coworkers that may be suffering and i don't know how to tell them i empathize and that i want to help.
2014-08-27 11:50:27,27,male,united kingdom,ia,no,no,never,100-500,no,yes,yes,not sure,no,yes,don't know,somewhat easy,no,no,yes,yes,maybe,maybe,yes,no,in addition to my own mental health issues i've known several coworkers that may be suffering and i don't know how to tell them i empathize and that i want to help.
2014-08-27 11:50:28,26,male,france,ia,no,no,never,26-100,no,yes,no,no,no,no,don't know,very easy,yes,no,no,no,no,no,no,yes,in addition to my own mental health issues i've known several coworkers that may be suffering and i don't know how to tell them i empathize and that i want to help.
2014-08-27 11:50:46,35,male,canada,ia,no,no,sometimes,6-25,no,yes,don't know,no,no,no,don't know,somewhat easy,no,no,some of them,yes,no,maybe,don't know,no,in addition to my own mental health issues i've known several coworkers that may be suffering and i don't know how to tell them i empathize and that i want to help.
2014-08-27 11:51:07,40,male,united states,ca,no,yes,sometimes,more than 1000,yes,yes,yes,yes,yes,yes,don't know,don't know,yes,maybe,some of them,no,no,no,no,yes,in addition to my own mental health issues i've known several coworkers that may be suffering and i don't know how to tell them i empathize and that i want to help.
2014-08-27 11:51:34,23,female,australia,ca,no,yes,often,1-5,yes,yes,no,not sure,no,no,don't know,very easy,no,no,some of them,yes,no,maybe,yes,no,thanks for doing this research.
2014-08-27 11:52:07,36,m,united states,tx,no,no,sometimes,100-500,yes,yes,yes,no,don't know,yes,don't know,don't know,maybe,no,some of them,some of them,maybe,yes,yes,no,thanks for doing this research.
2014-08-27 11:52:41,31,female,united states,nm,no,no,sometimes,26-100,yes,no,don't know,no,don't know,don't know,don't know,don't know,maybe,no,some of them,no,no,maybe,don't know,no,thanks for doing this research.
2014-08-27 11:52:44,34,male,united states,ny,yes,no,rarely,1-5,yes,yes,no,no,no,no,don't know,don't know,maybe,no,some of them,no,no,no,don't know,no,thanks for doing this research.
2014-08-27 11:53:05,28,m,france,ny,no,no,never,26-100,no,yes,no,no,no,no,don't know,don't know,maybe,no,some of them,some of them,no,no,don't know,no,thanks for doing this research.
2014-08-27 11:53:25,34,male,canada,ny,no,no,never,6-25,no,yes,don't know,not sure,don't know,don't know,don't know,somewhat easy,no,no,some of them,yes,no,no,don't know,no,thanks for doing this research.
2014-08-27 11:54:27,23,trans-female,united states,ma,no,no,rarely,more than 1000,no,yes,yes,yes,no,no,yes,somewhat difficult,maybe,no,yes,yes,no,no,no,no,thanks for doing this research.
2014-08-27 11:56:17,38,male,united kingdom,ma,no,no,rarely,26-100,no,yes,no,no,no,don't know,yes,somewhat easy,no,no,some of them,yes,maybe,yes,yes,no,thanks for doing this research.
2014-08-27 11:56:29,33,male,united states,ca,no,no,never,more than 1000,no,yes,don't know,not sure,yes,don't know,don't know,don't know,maybe,no,some of them,some of them,no,maybe,yes,no,thanks for doing this research.
2014-08-27 11:57:30,19,male,united kingdom,ca,no,no,never,1-5,no,yes,no,yes,no,no,no,somewhat difficult,yes,no,no,no,no,maybe,no,no,thanks for doing this research.
2014-08-27 11:57:33,25,male,united states,wa,no,no,never,more than 1000,yes,yes,yes,yes,yes,yes,don't know,don't know,no,no,yes,yes,maybe,yes,yes,no,thanks for doing this research.
2014-08-27 11:57:54,31,male,united states,wa,yes,yes,sometimes,1-5,yes,yes,no,no,no,no,yes,somewhat difficult,no,no,yes,yes,maybe,maybe,yes,no,thanks for doing this research.
2014-08-27 11:59:31,32,male,united states,ut,no,yes,sometimes,26-100,yes,yes,no,no,no,no,don't know,somewhat difficult,yes,no,some of them,no,no,yes,no,no,thanks for doing this research.
2014-08-27 12:00:02,28,m,germany,ut,no,no,never,6-25,yes,yes,don't know,no,don't know,don't know,don't know,very easy,no,no,some of them,some of them,maybe,yes,yes,no,thanks for doing this research.
2014-08-27 12:01:50,38,male,united states,ny,no,yes,sometimes,100-500,yes,yes,yes,yes,no,yes,don't know,don't know,no,no,yes,some of them,maybe,maybe,yes,no,thanks for doing this research.
2014-08-27 12:02:40,23,male,united kingdom,ny,no,no,never,26-100,no,yes,yes,not sure,yes,don't know,don't know,very easy,no,no,some of them,yes,maybe,maybe,yes,no,thanks for doing this research.
2014-08-27 12:02:52,30,male,canada,ny,no,no,never,26-100,no,no,no,no,no,no,don't know,don't know,no,no,some of them,yes,no,no,no,no,thanks for doing this research.
2014-08-27 12:03:30,27,cis female,united states,ny,yes,no,often,1-5,yes,yes,yes,yes,yes,yes,yes,very easy,maybe,maybe,some of them,yes,no,maybe,yes,no,thanks for doing this research.
2014-08-27 12:05:13,33,male,united states,ca,no,yes,never,more than 1000,no,yes,no,no,no,no,don't know,don't know,yes,no,no,no,no,maybe,no,no,thanks for doing this research.
2014-08-27 12:05:37,31,male,united states,tx,no,no,never,26-100,no,yes,don't know,not sure,no,no,don't know,don't know,no,no,some of them,yes,maybe,maybe,no,no,thanks for doing this research.
2014-08-27 12:07:08,39,male,united kingdom,tx,yes,no,often,6-25,no,yes,no,no,no,no,don't know,very difficult,maybe,no,some of them,no,no,maybe,no,yes,thanks for doing this research.
2014-08-27 12:10:43,34,female,united states,or,no,yes,rarely,500-1000,yes,yes,yes,not sure,no,don't know,don't know,don't know,yes,maybe,some of them,some of them,no,no,don't know,no,thanks for doing this research.
2014-08-27 12:11:00,29,f,united states,fl,no,no,sometimes,26-100,no,yes,yes,yes,no,no,don't know,don't know,maybe,no,some of them,some of them,no,maybe,no,yes,thanks for doing this research.
2014-08-27 12:11:07,32,m,united states,il,no,no,sometimes,500-1000,no,yes,don't know,no,no,don't know,don't know,don't know,no,no,some of them,some of them,no,no,don't know,no,thanks for doing this research.
2014-08-27 12:12:47,31,male,united states,ny,no,no,never,500-1000,no,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,some of them,yes,no,no,yes,no,thanks for doing this research.
2014-08-27 12:13:30,40,male,united states,tx,no,no,sometimes,26-100,no,yes,no,yes,no,no,yes,very difficult,no,no,yes,yes,yes,yes,no,no,thanks for doing this research.
2014-08-27 12:14:13,34,male,united states,oh,no,no,sometimes,26-100,no,yes,don't know,no,no,no,don't know,somewhat easy,maybe,no,some of them,no,no,maybe,don't know,no,thanks for doing this research.
2014-08-27 12:15:11,18,something kinda male?,russia,oh,no,no,sometimes,26-100,yes,yes,yes,yes,no,no,yes,somewhat easy,no,no,yes,yes,yes,yes,don't know,no,in russia we have mandatory medical insurance. every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. everyone gets free healthcare at public clinics and hospitals. some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still free!however this is russia :d i don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
2014-08-27 12:15:19,25,f,canada,oh,no,no,sometimes,26-100,no,yes,yes,yes,no,don't know,don't know,don't know,maybe,no,some of them,yes,no,maybe,don't know,no,in russia we have mandatory medical insurance. every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. everyone gets free healthcare at public clinics and hospitals. some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still free!however this is russia :d i don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
2014-08-27 12:15:30,29,male,united states,mn,no,no,never,26-100,no,yes,don't know,no,no,don't know,don't know,don't know,no,no,yes,yes,maybe,maybe,no,no,in russia we have mandatory medical insurance. every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. everyone gets free healthcare at public clinics and hospitals. some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still free!however this is russia :d i don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
2014-08-27 12:16:21,24,male,united states,mo,no,yes,rarely,26-100,no,yes,don't know,not sure,no,don't know,don't know,somewhat easy,maybe,maybe,some of them,no,no,maybe,don't know,no,in russia we have mandatory medical insurance. every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. everyone gets free healthcare at public clinics and hospitals. some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still free!however this is russia :d i don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
2014-08-27 12:17:01,31,male,mexico,mo,no,yes,sometimes,6-25,no,yes,don't know,no,no,no,don't know,don't know,no,no,some of them,yes,maybe,yes,no,no,in russia we have mandatory medical insurance. every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. everyone gets free healthcare at public clinics and hospitals. some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still free!however this is russia :d i don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
2014-08-27 12:18:02,33,cis male,united states,az,no,no,sometimes,6-25,no,yes,no,yes,no,no,don't know,somewhat easy,maybe,no,some of them,no,no,maybe,no,no,in russia we have mandatory medical insurance. every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. everyone gets free healthcare at public clinics and hospitals. some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still free!however this is russia :d i don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
2014-08-27 12:18:04,30,m,united states,in,no,no,often,1-5,no,yes,no,yes,no,no,yes,somewhat easy,no,no,yes,yes,maybe,maybe,yes,no,in russia we have mandatory medical insurance. every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. everyone gets free healthcare at public clinics and hospitals. some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still free!however this is russia :d i don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
2014-08-27 12:18:14,26,female,canada,in,no,yes,sometimes,26-100,no,no,no,yes,no,no,no,very difficult,yes,no,no,no,no,maybe,no,yes,in my previous workplace which had mental health protections policies and access to counsellors my director went so far as to say to me in somewhat casual conversation a woman was murdered across the street. at best though she was bipolar and at worst - who knowsi have bipolar disorder. i have zero faith that an organization with policies in place could appropriately handle mental health. i have even less faith that a workplace without the policies in place could appropriately handle mental health. i can only imagine it's worse in full tech environments.
2014-08-27 12:18:38,44,female,united states,ma,no,no,never,100-500,no,yes,yes,not sure,don't know,don't know,don't know,don't know,maybe,maybe,no,some of them,no,no,don't know,no,in my previous workplace which had mental health protections policies and access to counsellors my director went so far as to say to me in somewhat casual conversation a woman was murdered across the street. at best though she was bipolar and at worst - who knowsi have bipolar disorder. i have zero faith that an organization with policies in place could appropriately handle mental health. i have even less faith that a workplace without the policies in place could appropriately handle mental health. i can only imagine it's worse in full tech environments.
2014-08-27 12:19:52,25,male,united states,ny,no,yes,never,26-100,no,yes,don't know,no,don't know,don't know,don't know,very easy,no,no,some of them,yes,no,no,don't know,no,in my previous workplace which had mental health protections policies and access to counsellors my director went so far as to say to me in somewhat casual conversation a woman was murdered across the street. at best though she was bipolar and at worst - who knowsi have bipolar disorder. i have zero faith that an organization with policies in place could appropriately handle mental health. i have even less faith that a workplace without the policies in place could appropriately handle mental health. i can only imagine it's worse in full tech environments.
2014-08-27 12:20:10,33,male,united states,wi,no,yes,sometimes,26-100,yes,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,some of them,yes,maybe,maybe,yes,no,in my previous workplace which had mental health protections policies and access to counsellors my director went so far as to say to me in somewhat casual conversation a woman was murdered across the street. at best though she was bipolar and at worst - who knowsi have bipolar disorder. i have zero faith that an organization with policies in place could appropriately handle mental health. i have even less faith that a workplace without the policies in place could appropriately handle mental health. i can only imagine it's worse in full tech environments.
2014-08-27 12:22:55,29,male,united states,ny,no,no,never,more than 1000,no,yes,yes,not sure,yes,don't know,don't know,somewhat easy,no,no,some of them,yes,no,no,don't know,no,in my previous workplace which had mental health protections policies and access to counsellors my director went so far as to say to me in somewhat casual conversation a woman was murdered across the street. at best though she was bipolar and at worst - who knowsi have bipolar disorder. i have zero faith that an organization with policies in place could appropriately handle mental health. i have even less faith that a workplace without the policies in place could appropriately handle mental health. i can only imagine it's worse in full tech environments.
2014-08-27 12:23:48,35,male,united states,mo,no,yes,rarely,6-25,no,yes,yes,not sure,no,no,yes,somewhat easy,no,no,some of them,yes,no,no,don't know,no,in my previous workplace which had mental health protections policies and access to counsellors my director went so far as to say to me in somewhat casual conversation a woman was murdered across the street. at best though she was bipolar and at worst - who knowsi have bipolar disorder. i have zero faith that an organization with policies in place could appropriately handle mental health. i have even less faith that a workplace without the policies in place could appropriately handle mental health. i can only imagine it's worse in full tech environments.
